2020-04-01,92056,7.0
2020-04-01,92057,6.0
2020-04-01,92058,4.0
2020-04-01,92061,2.0
2020-04-01,92064,10.0
2020-04-01,92065,4.0
2020-04-01,92067,13.0
2020-04-01,92069,5.0
2020-04-01,92071,10.0
2020-04-01,92075,4.0
2020-04-01,92078,8.0
2020-04-01,92081,5.0
2020-04-01,92083,1.0
2020-04-01,92084,8.0
2020-04-01,92088,1.0
2020-04-01,92091,1.0
2020-04-01,92092,3.0
2020-04-01,92093,1.0
2020-04-01,92101,28.0
2020-04-01,92102,13.0
2020-04-01,92103,58.0
2020-04-01,92104,25.0
2020-04-01,92105,24.0
2020-04-01,92106,6.0
2020-04-01,92107,3.0
2020-04-01,92108,14.0
2020-04-01,92109,21.0
2020-04-01,92110,13.0
2020-04-01,92111,13.0
2020-04-01,92113,21.0
2020-04-01,92114,14.0
2020-04-01,92115,16.0
2020-04-01,92116,29.0
2020-04-01,92117,13.0
2020-04-01,92118,2.0
2020-04-01,92119,4.0
2020-04-01,92120,11.0
2020-04-01,92121,3.0
2020-04-01,92122,11.0
2020-04-01,92123,19.0
2020-04-01,92124,7.0
2020-04-01,92126,17.0
2020-04-01,92127,14.0
2020-04-01,92128,22.0
2020-04-01,92129,14.0
2020-04-01,92130,21.0
2020-04-01,92131,4.0
2020-04-01,92139,15.0
2020-04-01,92145,2.0
2020-04-01,92147,1.0
2020-04-01,92154,23.0
2020-04-01,92161,3.0
2020-04-01,92168,1.0
2020-04-01,92173,7.0
2020-04-01,92196,1.0
2020-04-02,91901,1.0
2020-04-02,91902,9.0
2020-04-02,91909,1.0
2020-04-02,91910,23.0
2020-04-02,91911,21.0
2020-04-02,91913,20.0
2020-04-02,91914,2.0
2020-04-02,91915,7.0
2020-04-02,91916,1.0
2020-04-02,91932,2.0
2020-04-02,91935,1.0
2020-04-02,91941,4.0
2020-04-02,91942,12.0
2020-04-02,91945,10.0
2020-04-02,91950,17.0
2020-04-02,91977,21.0
2020-04-02,91978,2.0
2020-04-02,92004,1.0
2020-04-02,92007,4.0
2020-04-02,92008,7.0
2020-04-02,92009,16.0
2020-04-02,92010,9.0
2020-04-02,92011,5.0
2020-04-02,92014,11.0
2020-04-02,92019,21.0
2020-04-02,92020,34.0
2020-04-02,92021,28.0
2020-04-02,92024,23.0
2020-04-02,92025,11.0
2020-04-02,92026,6.0
2020-04-02,92027,7.0
2020-04-02,92028,5.0
2020-04-02,92029,9.0
2020-04-02,92037,29.0
2020-04-02,92039,1.0
2020-04-02,92040,8.0
2020-04-02,92054,7.0
2020-04-02,92056,10.0
2020-04-02,92057,7.0
2020-04-02,92058,5.0
2020-04-02,92061,2.0
2020-04-02,92064,13.0
2020-04-02,92065,6.0
2020-04-02,92066,2.0
2020-04-02,92067,12.0
2020-04-02,92069,5.0
2020-04-02,92071,12.0
2020-04-02,92075,4.0
2020-04-02,92078,9.0
2020-04-02,92081,9.0
2020-04-02,92082,1.0
2020-04-02,92083,1.0
2020-04-02,92084,9.0
2020-04-02,92085,1.0
2020-04-02,92091,1.0
2020-04-02,92092,3.0
2020-04-02,92093,1.0
2020-04-02,92101,29.0
2020-04-02,92102,14.0
2020-04-02,92103,64.0
2020-04-02,92104,31.0
2020-04-02,92105,27.0
2020-04-02,92106,7.0
2020-04-02,92107,3.0
2020-04-02,92108,15.0
2020-04-02,92109,22.0
2020-04-02,92110,15.0
2020-04-02,92111,14.0
2020-04-02,92113,26.0
2020-04-02,92114,21.0
2020-04-02,92115,19.0
2020-04-02,92116,33.0
2020-04-02,92117,18.0
2020-04-02,92118,4.0
2020-04-02,92119,4.0
2020-04-02,92120,14.0
2020-04-02,92121,3.0
2020-04-02,92122,12.0
2020-04-02,92123,17.0
2020-04-02,92124,10.0
2020-04-02,92126,21.0
2020-04-02,92127,18.0
2020-04-02,92128,25.0
2020-04-02,92129,18.0
2020-04-02,92130,21.0
2020-04-02,92131,5.0
2020-04-02,92139,17.0
2020-04-02,92145,2.0
2020-04-02,92147,1.0
2020-04-02,92154,25.0
2020-04-02,92159,1.0
2020-04-02,92161,3.0
2020-04-02,92168,1.0
2020-04-02,92173,8.0
2020-04-02,92196,1.0
2020-04-03,91901,1.0
2020-04-03,91902,10.0
2020-04-03,91909,1.0
2020-04-03,91910,28.0
2020-04-03,91911,24.0
2020-04-03,91913,21.0
2020-04-03,91914,3.0
2020-04-03,91915,8.0
2020-04-03,91916,1.0
2020-04-03,91932,3.0
2020-04-03,91935,1.0
2020-04-03,91941,8.0
2020-04-03,91942,12.0
2020-04-03,91945,13.0
2020-04-03,91950,18.0
2020-04-03,91977,24.0
2020-04-03,91978,3.0
2020-04-03,92004,1.0
2020-04-03,92007,4.0
2020-04-03,92008,8.0
2020-04-03,92009,16.0
2020-04-03,92010,9.0
2020-04-03,92011,6.0
2020-04-03,92014,12.0
2020-04-03,92019,26.0
2020-04-03,92020,39.0
2020-04-03,92021,28.0
2020-04-03,92024,23.0
2020-04-03,92025,12.0
2020-04-03,92026,7.0
2020-04-03,92027,6.0
2020-04-03,92028,6.0
2020-04-03,92029,9.0
2020-04-03,92037,31.0
2020-04-03,92039,1.0
2020-04-03,92040,9.0
2020-04-03,92054,8.0
2020-04-03,92056,11.0
2020-04-03,92057,7.0
2020-04-03,92058,5.0
2020-04-03,92061,2.0
2020-04-03,92064,13.0
2020-04-03,92065,7.0
2020-04-03,92066,2.0
2020-04-03,92067,12.0
2020-04-03,92069,7.0
2020-04-03,92071,14.0
2020-04-03,92075,4.0
2020-04-03,92078,11.0
2020-04-03,92081,10.0
2020-04-03,92082,3.0
2020-04-03,92083,2.0
2020-04-03,92084,10.0
2020-04-03,92085,1.0
2020-04-03,92091,2.0
2020-04-03,92093,4.0
2020-04-03,92101,29.0
2020-04-03,92102,14.0
2020-04-03,92103,65.0
2020-04-03,92104,34.0
2020-04-03,92105,29.0
2020-04-03,92106,9.0
2020-04-03,92107,3.0
2020-04-03,92108,14.0
2020-04-03,92109,24.0
2020-04-03,92110,15.0
2020-04-03,92111,15.0
2020-04-03,92113,29.0
2020-04-03,92114,24.0
2020-04-03,92115,21.0
2020-04-03,92116,31.0
2020-04-03,92117,19.0
2020-04-03,92118,4.0
2020-04-03,92119,6.0
2020-04-03,92120,16.0
2020-04-03,92121,3.0
2020-04-03,92122,13.0
2020-04-03,92123,16.0
2020-04-03,92124,11.0
2020-04-03,92126,22.0
2020-04-03,92127,19.0
2020-04-03,92128,25.0
2020-04-03,92129,18.0
2020-04-03,92130,21.0
2020-04-03,92131,6.0
2020-04-03,92136,2.0
2020-04-03,92139,18.0
2020-04-03,92145,1.0
2020-04-03,92154,28.0
2020-04-03,92161,2.0
2020-04-03,92168,1.0
2020-04-03,92173,12.0
2020-04-03,92196,1.0
2020-04-04,91901,1.0
2020-04-04,91902,10.0
2020-04-04,91909,1.0
2020-04-04,91910,28.0
2020-04-04,91911,26.0
2020-04-04,91913,23.0
2020-04-04,91914,4.0
2020-04-04,91915,12.0
2020-04-04,91916,1.0
2020-04-04,91932,6.0
2020-04-04,91935,1.0
2020-04-04,91941,8.0
2020-04-04,91942,12.0
2020-04-04,91945,12.0
2020-04-04,91950,19.0
2020-04-04,91977,25.0
2020-04-04,91978,3.0
2020-04-04,92004,1.0
2020-04-04,92007,4.0
2020-04-04,92008,8.0
2020-04-04,92009,17.0
2020-04-04,92010,9.0
2020-04-04,92011,7.0
2020-04-04,92014,13.0
2020-04-04,92019,27.0
2020-04-04,92020,42.0
2020-04-04,92021,30.0
2020-04-04,92024,25.0
2020-04-04,92025,12.0
2020-04-04,92026,8.0
2020-04-04,92027,7.0
2020-04-04,92028,6.0
2020-04-04,92029,9.0
2020-04-04,92037,32.0
2020-04-04,92039,1.0
2020-04-04,92040,10.0
2020-04-04,92054,8.0
2020-04-04,92056,11.0
2020-04-04,92057,8.0
2020-04-04,92058,5.0
2020-04-04,92061,2.0
2020-04-04,92064,13.0
2020-04-04,92065,7.0
2020-04-04,92066,2.0
2020-04-04,92067,12.0
2020-04-04,92069,7.0
2020-04-04,92071,15.0
2020-04-04,92075,4.0
2020-04-04,92078,11.0
2020-04-04,92081,10.0
2020-04-04,92082,3.0
2020-04-04,92083,3.0
2020-04-04,92084,10.0
2020-04-04,92085,1.0
2020-04-04,92091,2.0
2020-04-04,92093,4.0
2020-04-04,92101,34.0
2020-04-04,92102,16.0
2020-04-04,92103,66.0
2020-04-04,92104,33.0
2020-04-04,92105,30.0
2020-04-04,92106,9.0
2020-04-04,92107,3.0
2020-04-04,92108,15.0
2020-04-04,92109,25.0
2020-04-04,92110,15.0
2020-04-04,92111,17.0
2020-04-04,92113,32.0
2020-04-04,92114,24.0
2020-04-04,92115,23.0
2020-04-04,92116,34.0
2020-04-04,92117,19.0
2020-04-04,92118,4.0
2020-04-04,92119,6.0
2020-04-04,92120,19.0
2020-04-04,92121,3.0
2020-04-04,92122,14.0
2020-04-04,92123,16.0
2020-04-04,92124,13.0
2020-04-04,92126,24.0
2020-04-04,92127,20.0
2020-04-04,92128,25.0
2020-04-04,92129,18.0
2020-04-04,92130,22.0
2020-04-04,92131,6.0
2020-04-04,92136,2.0
2020-04-04,92139,20.0
2020-04-04,92145,1.0
2020-04-04,92154,31.0
2020-04-04,92161,2.0
2020-04-04,92168,1.0
2020-04-04,92173,13.0
2020-04-04,92196,1.0
2020-04-07,91901,1.0
2020-04-07,91902,16.0
2020-04-07,91910,39.0
2020-04-07,91911,38.0
2020-04-07,91913,28.0
2020-04-07,91914,7.0
2020-04-07,91915,16.0
2020-04-07,91916,1.0
2020-04-07,91932,9.0
2020-04-07,91935,3.0
2020-04-07,91941,9.0
2020-04-07,91942,20.0
2020-04-07,91945,14.0
2020-04-07,91950,28.0
2020-04-07,91977,32.0
2020-04-07,91978,5.0
2020-04-07,92004,1.0
2020-04-07,92007,4.0
2020-04-07,92008,8.0
2020-04-07,92009,17.0
2020-04-07,92010,10.0
2020-04-07,92011,8.0
2020-04-07,92014,13.0
2020-04-07,92019,35.0
2020-04-07,92020,50.0
2020-04-07,92021,45.0
2020-04-07,92024,28.0
2020-04-07,92025,13.0
2020-04-07,92026,9.0
2020-04-07,92027,13.0
2020-04-07,92028,6.0
2020-04-07,92029,12.0
2020-04-07,92037,33.0
2020-04-07,92040,14.0
2020-04-07,92054,8.0
2020-04-07,92056,12.0
2020-04-07,92057,9.0
2020-04-07,92058,7.0
2020-04-07,92061,2.0
2020-04-07,92064,16.0
2020-04-07,92065,10.0
2020-04-07,92066,2.0
2020-04-07,92067,12.0
2020-04-07,92069,10.0
2020-04-07,92071,15.0
2020-04-07,92075,4.0
2020-04-07,92078,13.0
2020-04-07,92081,11.0
2020-04-07,92082,3.0
2020-04-07,92083,9.0
2020-04-07,92084,10.0
2020-04-07,92091,2.0
2020-04-07,92093,4.0
2020-04-07,92101,38.0
2020-04-07,92102,21.0
2020-04-07,92103,70.0
2020-04-07,92104,36.0
2020-04-07,92105,41.0
2020-04-07,92106,9.0
2020-04-07,92107,3.0
2020-04-07,92108,17.0
2020-04-07,92109,27.0
2020-04-07,92110,17.0
2020-04-07,92111,19.0
2020-04-07,92113,40.0
2020-04-07,92114,31.0
2020-04-07,92115,31.0
2020-04-07,92116,34.0
2020-04-07,92117,21.0
2020-04-07,92118,4.0
2020-04-07,92119,9.0
2020-04-07,92120,20.0
2020-04-07,92121,3.0
2020-04-07,92122,15.0
